DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-10-09 10:00:00,22 °C,18 °C,—,0 mm,13 km/h,—,1014 hPa,78 %
2024-10-09 11:00:00,23 °C,17 °C,—,0 mm,17 km/h,—,1014 hPa,69 %
2024-10-08 06:00:00,16 °C,13.3 °C,—,0 mm,13 km/h,—,1020 hPa,84 %
2024-10-08 07:00:00,17 °C,14.1 °C,—,0 mm,13 km/h,22.2 km/h,1020 hPa,83 %
2024-10-08 08:00:00,20 °C,13.9 °C,—,0 mm,13 km/h,—,1020 hPa,68 %
2024-10-08 09:00:00,19.5 °C,14.1 °C,—,0 mm,13 km/h,—,1020.2 hPa,71 %
2024-10-08 10:00:00,23 °C,11.1 °C,—,0 mm,19 km/h,—,1020 hPa,47 %
2024-10-08 11:00:00,24 °C,12 °C,—,0 mm,13 km/h,—,1020 hPa,47 %
2024-10-07 06:00:00,18.5 °C,16.8 °C,—,0 mm,11 km/h,—,1012.2 hPa,90 %
2024-10-07 07:00:00,19 °C,17 °C,—,0.1 mm,13 km/h,20.4 km/h,1013 hPa,88 %
2024-10-07 08:00:00,20 °C,17 °C,—,0 mm,15 km/h,—,1013 hPa,83 %
2024-10-07 09:00:00,19.8 °C,16.8 °C,—,0.2 mm,15 km/h,—,1013.8 hPa,83 %
2024-10-07 10:00:00,21 °C,17 °C,—,0.3 mm,11 km/h,—,1014 hPa,78 %
2024-10-07 11:00:00,23 °C,17 °C,—,1.2 mm,9 km/h,—,1015 hPa,69 %
2024-10-06 06:00:00,20.3 °C,18.4 °C,—,0 mm,0 km/h,—,1009.9 hPa,89 %
2024-10-06 07:00:00,22 °C,19.9 °C,—,0 mm,4 km/h,7.4 km/h,1010 hPa,88 %
2024-10-06 08:00:00,23 °C,19 °C,—,0 mm,6 km/h,—,1010 hPa,78 %
2024-10-06 09:00:00,22.5 °C,18.9 °C,—,0 mm,5 km/h,—,1010.5 hPa,80 %
2024-10-06 10:00:00,23 °C,19 °C,—,0 mm,6 km/h,—,1010 hPa,78 %
2024-10-06 11:00:00,24 °C,19.1 °C,—,0 mm,9 km/h,—,1011 hPa,74 %
2024-10-05 06:00:00,18.1 °C,13.6 °C,—,0 mm,5 km/h,—,1013.4 hPa,75 %
2024-10-05 07:00:00,20 °C,16 °C,—,0 mm,4 km/h,13 km/h,1013 hPa,78 %
2024-10-05 08:00:00,23 °C,18.1 °C,—,0 mm,4 km/h,—,1013 hPa,74 %
2024-10-05 09:00:00,22.9 °C,17.8 °C,—,0 mm,4 km/h,—,1013.2 hPa,73 %
2024-10-05 10:00:00,26 °C,14.1 °C,—,0 mm,7 km/h,—,1013 hPa,48 %
2024-10-05 11:00:00,26 °C,14.1 °C,—,0 mm,11 km/h,—,1013 hPa,48 %
2024-10-04 06:00:00,20.4 °C,16.4 °C,—,0 mm,9 km/h,—,1015.2 hPa,78 %
2024-10-04 07:00:00,21 °C,15.1 °C,—,0 mm,11 km/h,16.7 km/h,1015 hPa,69 %
2024-10-04 08:00:00,22 °C,16.9 °C,—,0 mm,9 km/h,—,1015 hPa,73 %
2024-10-04 09:00:00,21.7 °C,17.1 °C,—,0 mm,9 km/h,—,1015.5 hPa,75 %
2024-10-04 10:00:00,23 °C,16.1 °C,—,0 mm,9 km/h,—,1015 hPa,65 %
2024-10-04 11:00:00,24 °C,16 °C,—,0 mm,9 km/h,—,1015 hPa,61 %
2024-10-03 06:00:00,15.3 °C,12.4 °C,—,0 mm,4 km/h,—,1013.7 hPa,83 %
2024-10-03 07:00:00,16 °C,12.9 °C,—,0 mm,6 km/h,11.1 km/h,1014 hPa,82 %
2024-10-03 08:00:00,20 °C,15 °C,—,0 mm,4 km/h,—,1015 hPa,73 %
2024-10-03 09:00:00,19.7 °C,15.1 °C,—,0 mm,4 km/h,—,1014.6 hPa,75 %
2024-10-03 10:00:00,21 °C,15.1 °C,—,0 mm,13 km/h,—,1015 hPa,69 %
2024-10-03 11:00:00,22 °C,15.1 °C,—,0 mm,15 km/h,—,1015 hPa,65 %
2024-10-02 06:00:00,16 °C,7.2 °C,—,0 mm,9 km/h,—,1013.9 hPa,56 %
2024-10-02 07:00:00,16 °C,9 °C,—,0 mm,11 km/h,18.5 km/h,1014 hPa,63 %
2024-10-02 08:00:00,17 °C,8.9 °C,—,0 mm,11 km/h,—,1015 hPa,59 %
2024-10-02 09:00:00,17.3 °C,9.2 °C,—,0 mm,11 km/h,—,1015 hPa,59 %
2024-10-02 10:00:00,19 °C,11.1 °C,—,0 mm,11 km/h,—,1016 hPa,60 %
2024-10-02 11:00:00,20 °C,11 °C,—,0 mm,9 km/h,—,1015 hPa,56 %
2024-10-01 06:00:00,15.7 °C,7.5 °C,—,0 mm,18 km/h,—,1011.8 hPa,58 %
2024-10-01 07:00:00,15 °C,6 °C,—,0 mm,15 km/h,29.6 km/h,1011 hPa,55 %
2024-10-01 08:00:00,15 °C,6 °C,—,0 mm,15 km/h,—,1012 hPa,55 %
2024-10-01 09:00:00,15.1 °C,5.6 °C,—,0 mm,15 km/h,—,1012.1 hPa,53 %
2024-10-01 10:00:00,18 °C,7.1 °C,—,0 mm,15 km/h,—,1012 hPa,49 %
2024-10-01 11:00:00,18 °C,8 °C,—,0 mm,9 km/h,—,1012 hPa,52 %
2024-09-30 06:00:00,16.4 °C,14.1 °C,—,0 mm,24 km/h,—,1009.2 hPa,86 %
2024-09-30 07:00:00,16 °C,14 °C,—,0 mm,28 km/h,40.8 km/h,1010 hPa,88 %
