DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2023-08-03 12:00:00,29.5 °C,17 °C,—,0 mm,7.6 km/h,—,1011.2 hPa,47 %
2023-08-03 13:00:00,30 °C,18.1 °C,—,0 mm,11.2 km/h,—,1011 hPa,49 %
2023-08-03 14:00:00,32 °C,17.9 °C,—,0 mm,13 km/h,—,1010 hPa,43 %
2023-08-03 15:00:00,33.7 °C,12.1 °C,—,0 mm,11.2 km/h,—,1010.5 hPa,27 %
2023-08-03 16:00:00,34 °C,14 °C,—,0 mm,11.2 km/h,—,1010 hPa,30 %
2023-08-03 17:00:00,34 °C,15 °C,—,0 mm,9.4 km/h,—,1009 hPa,32 %
2023-08-02 12:00:00,26.2 °C,21 °C,—,0 mm,13 km/h,—,1009.8 hPa,73 %
2023-08-02 13:00:00,27 °C,21.1 °C,—,0 mm,14.8 km/h,—,1009 hPa,70 %
2023-08-02 14:00:00,27 °C,21.1 °C,—,0 mm,14.8 km/h,—,1009 hPa,70 %
2023-08-02 15:00:00,28.1 °C,20.9 °C,—,0 mm,14.8 km/h,—,1009 hPa,65 %
2023-08-02 16:00:00,28 °C,20 °C,—,0 mm,14.8 km/h,—,1008 hPa,62 %
2023-08-02 17:00:00,29 °C,19 °C,—,0 mm,11.2 km/h,—,1008 hPa,55 %
2023-08-01 12:00:00,27.7 °C,17.3 °C,—,0 mm,13 km/h,—,1010 hPa,53 %
2023-08-01 13:00:00,27 °C,19.1 °C,—,0.2 mm,11.2 km/h,—,1009 hPa,62 %
2023-08-01 14:00:00,28 °C,19 °C,—,0.2 mm,11.2 km/h,—,1009 hPa,58 %
2023-08-01 15:00:00,27.7 °C,19.5 °C,—,0 mm,14.8 km/h,—,1009 hPa,61 %
2023-08-01 16:00:00,27 °C,19.1 °C,—,0 mm,7.6 km/h,—,1008 hPa,62 %
2023-08-01 17:00:00,29 °C,18.2 °C,—,0 mm,22.3 km/h,—,1008 hPa,52 %
2023-07-31 12:00:00,27 °C,15.1 °C,—,0 mm,22.3 km/h,—,1009.6 hPa,48 %
2023-07-31 13:00:00,29 °C,15.9 °C,—,0 mm,24.1 km/h,—,1009 hPa,45 %
2023-07-31 14:00:00,29 °C,15.9 °C,—,0 mm,24.1 km/h,—,1009 hPa,45 %
2023-07-31 15:00:00,29.1 °C,16 °C,—,0 mm,25.9 km/h,—,1009.3 hPa,45 %
2023-07-31 16:00:00,28 °C,16 °C,—,0 mm,25.9 km/h,—,1008 hPa,48 %
2023-07-31 17:00:00,29 °C,15.9 °C,—,0 mm,25.9 km/h,—,1008 hPa,45 %
2023-07-30 12:00:00,28 °C,14.6 °C,—,0 mm,20.5 km/h,—,1012.3 hPa,44 %
2023-07-30 13:00:00,28 °C,16 °C,—,0 mm,20.5 km/h,—,1011 hPa,48 %
2023-07-30 14:00:00,29 °C,15.2 °C,—,0 mm,20.5 km/h,—,1011 hPa,43 %
2023-07-30 15:00:00,28.5 °C,14.7 °C,—,0 mm,20.5 km/h,—,1011.3 hPa,43 %
2023-07-30 16:00:00,29 °C,12.8 °C,—,0 mm,24.1 km/h,—,1010 hPa,37 %
2023-07-30 17:00:00,28 °C,15 °C,—,0 mm,27.7 km/h,—,1010 hPa,45 %
2023-07-29 12:00:00,27.6 °C,12.8 °C,—,0 mm,20.5 km/h,—,1012.8 hPa,40 %
2023-07-29 13:00:00,28 °C,13.1 °C,—,0 mm,22.3 km/h,—,1012 hPa,40 %
2023-07-29 14:00:00,29 °C,12 °C,—,0 mm,25.9 km/h,—,1012 hPa,35 %
2023-07-29 15:00:00,28.7 °C,10.8 °C,—,0 mm,24.1 km/h,—,1012.1 hPa,33 %
2023-07-29 16:00:00,29 °C,10.2 °C,—,0 mm,29.5 km/h,—,1011 hPa,31 %
2023-07-29 17:00:00,28 °C,12 °C,—,0 mm,31.7 km/h,—,1011 hPa,37 %
2023-07-28 12:00:00,24.2 °C,15.4 °C,—,0 mm,13 km/h,—,1016.5 hPa,58 %
2023-07-28 13:00:00,26 °C,15.1 °C,—,0 mm,13 km/h,—,1015 hPa,51 %
2023-07-28 14:00:00,25 °C,15 °C,—,0 mm,16.6 km/h,—,1015 hPa,54 %
2023-07-28 15:00:00,26 °C,14.5 °C,—,0 mm,13 km/h,—,1015.6 hPa,49 %
2023-07-28 16:00:00,26 °C,15.1 °C,—,0 mm,13 km/h,—,1014 hPa,51 %
2023-07-28 17:00:00,27 °C,13 °C,—,0 mm,14.8 km/h,—,1014 hPa,42 %
2023-07-27 12:00:00,27.2 °C,18.8 °C,—,0 mm,37.1 km/h,—,1004.5 hPa,60 %
2023-07-27 13:00:00,28 °C,18.1 °C,—,0 mm,37.1 km/h,—,1005 hPa,55 %
2023-07-27 14:00:00,27 °C,16.9 °C,—,0 mm,33.5 km/h,—,1006 hPa,54 %
2023-07-27 15:00:00,27.5 °C,13.1 °C,—,0 mm,35.3 km/h,—,1006.4 hPa,41 %
2023-07-27 16:00:00,26 °C,14.1 °C,—,0 mm,31.7 km/h,—,1008 hPa,48 %
2023-07-27 17:00:00,25 °C,12.9 °C,—,0 mm,42.5 km/h,—,1009 hPa,47 %
2023-07-26 12:00:00,31.2 °C,12.6 °C,—,0 mm,11.2 km/h,—,1005.7 hPa,32 %
2023-07-26 13:00:00,32 °C,14.2 °C,—,0 mm,13 km/h,—,1004 hPa,34 %
2023-07-26 14:00:00,33 °C,12.1 °C,—,0 mm,11.2 km/h,—,1003 hPa,28 %
2023-07-26 15:00:00,35.5 °C,9.1 °C,—,0 mm,9.4 km/h,—,1003.6 hPa,20 %
2023-07-26 16:00:00,37 °C,8.8 °C,—,0 mm,9.4 km/h,—,1002 hPa,18 %
2023-07-26 17:00:00,37 °C,11.1 °C,—,0 mm,13 km/h,—,1001 hPa,21 %
2023-07-25 12:00:00,27 °C,16.9 °C,—,0 mm,11.2 km/h,—,1012.6 hPa,54 %
2023-07-25 13:00:00,28 °C,19 °C,—,0 mm,11.2 km/h,—,1011 hPa,58 %
2023-07-25 14:00:00,30 °C,16.1 °C,—,0 mm,11.2 km/h,—,1011 hPa,43 %
2023-07-25 15:00:00,31 °C,12.9 °C,—,0 mm,7.6 km/h,—,1011 hPa,33 %
2023-07-25 16:00:00,32 °C,12.3 °C,—,0 mm,9.4 km/h,—,1010 hPa,30 %
2023-07-25 17:00:00,32 °C,13.2 °C,—,0 mm,9.4 km/h,—,1009 hPa,32 %
2023-07-24 12:00:00,28.5 °C,17.1 °C,—,0 mm,20.5 km/h,—,1016 hPa,50 %
2023-07-24 13:00:00,30 °C,17.1 °C,—,0 mm,22.3 km/h,—,1015 hPa,46 %
2023-07-24 14:00:00,31 °C,15.8 °C,—,0 mm,20.5 km/h,—,1015 hPa,40 %
2023-07-24 15:00:00,30.5 °C,16.5 °C,—,0 mm,22.3 km/h,—,1015 hPa,43 %
2023-07-24 16:00:00,31 °C,17 °C,—,0 mm,20.5 km/h,—,1014 hPa,43 %
2023-07-24 17:00:00,31 °C,17 °C,—,0 mm,18.4 km/h,—,1014 hPa,43 %
2023-07-23 12:00:00,31.2 °C,21.1 °C,—,0 mm,14.8 km/h,—,1013.5 hPa,55 %
2023-07-23 13:00:00,32 °C,22.1 °C,—,0 mm,11.2 km/h,—,1013 hPa,56 %
2023-07-23 14:00:00,32 °C,22.1 °C,—,0 mm,14.8 km/h,—,1013 hPa,56 %
2023-07-23 15:00:00,31.7 °C,23 °C,—,0 mm,18.4 km/h,—,1013.4 hPa,60 %
2023-07-23 16:00:00,36 °C,15.2 °C,—,0 mm,20.5 km/h,—,1013 hPa,29 %
2023-07-23 17:00:00,34 °C,16.8 °C,—,0 mm,29.5 km/h,—,1013 hPa,36 %
2023-07-22 12:00:00,28.1 °C,21.2 °C,—,0 mm,11.2 km/h,—,1015.3 hPa,66 %
2023-07-22 13:00:00,29 °C,22 °C,—,0 mm,11.2 km/h,—,1015 hPa,66 %
2023-07-22 14:00:00,29 °C,21 °C,—,0 mm,13 km/h,—,1014 hPa,62 %
2023-07-22 15:00:00,30.5 °C,19.8 °C,—,0 mm,13 km/h,—,1014.5 hPa,53 %
