DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-10-16 19:00:00,17 °C,11.9 °C,—,0 mm,26 km/h,—,1024 hPa,72 %
2024-10-16 20:00:00,16 °C,12 °C,—,0 mm,24 km/h,—,1024 hPa,77 %
2024-10-16 21:00:00,16.2 °C,11.6 °C,—,0 mm,24 km/h,—,1024.6 hPa,74 %
2024-10-16 22:00:00,16 °C,9 °C,—,0 mm,22 km/h,—,1025 hPa,63 %
2024-10-16 23:00:00,16 °C,9 °C,—,0 mm,24 km/h,—,1025 hPa,63 %
2024-10-15 18:00:00,19.8 °C,13.5 °C,—,0 mm,28 km/h,—,1018.8 hPa,67 %
2024-10-15 19:00:00,18 °C,13.1 °C,—,0 mm,28 km/h,—,1019 hPa,73 %
2024-10-15 20:00:00,18 °C,14.1 °C,—,0 mm,22 km/h,—,1019 hPa,78 %
2024-10-15 21:00:00,17.5 °C,13.6 °C,—,0 mm,18 km/h,—,1020 hPa,78 %
2024-10-15 22:00:00,17 °C,14.1 °C,—,0 mm,11 km/h,—,1020 hPa,83 %
2024-10-15 23:00:00,17 °C,14.1 °C,—,0 mm,11 km/h,—,1020 hPa,83 %
2024-10-14 18:00:00,20.5 °C,8.8 °C,—,0 mm,11 km/h,—,1017.8 hPa,47 %
2024-10-14 19:00:00,18 °C,13.1 °C,—,0 mm,15 km/h,—,1018 hPa,73 %
2024-10-14 20:00:00,18 °C,11.1 °C,—,0 mm,11 km/h,—,1018 hPa,64 %
2024-10-14 21:00:00,17.7 °C,11.7 °C,—,0 mm,13 km/h,—,1018.3 hPa,68 %
2024-10-14 22:00:00,17 °C,12.9 °C,—,0 mm,11 km/h,—,1019 hPa,77 %
2024-10-14 23:00:00,16 °C,12.9 °C,—,0 mm,7 km/h,—,1019 hPa,82 %
2024-10-13 18:00:00,17.6 °C,12.5 °C,—,0 mm,15 km/h,—,1017.2 hPa,72 %
2024-10-13 19:00:00,17 °C,12.9 °C,—,0 mm,13 km/h,—,1017 hPa,77 %
2024-10-13 20:00:00,17 °C,12.9 °C,—,0 mm,15 km/h,—,1018 hPa,77 %
2024-10-13 21:00:00,16.5 °C,12.5 °C,—,0 mm,15 km/h,—,1017.7 hPa,77 %
2024-10-13 22:00:00,15 °C,12 °C,—,0 mm,11 km/h,—,1017 hPa,82 %
2024-10-13 23:00:00,16 °C,12.9 °C,—,0 mm,11 km/h,—,1017 hPa,82 %
2024-10-12 18:00:00,19.4 °C,15.9 °C,—,0.2 mm,30 km/h,—,1013.8 hPa,80 %
2024-10-12 19:00:00,18 °C,16 °C,—,0.2 mm,28 km/h,—,1015 hPa,88 %
2024-10-12 20:00:00,18 °C,15.1 °C,—,1.1 mm,26 km/h,—,1016 hPa,83 %
2024-10-12 21:00:00,17.5 °C,15.3 °C,—,0.4 mm,26 km/h,—,1016.1 hPa,87 %
2024-10-12 22:00:00,18 °C,15.1 °C,—,0.2 mm,19 km/h,—,1017 hPa,83 %
2024-10-12 23:00:00,17 °C,15 °C,—,0 mm,22 km/h,—,1017 hPa,88 %
2024-10-11 18:00:00,26.3 °C,13.8 °C,—,0 mm,4 km/h,—,1009.1 hPa,46 %
2024-10-11 19:00:00,24 °C,16 °C,—,0 mm,7 km/h,—,1009 hPa,61 %
2024-10-11 20:00:00,24 °C,17 °C,—,0 mm,2 km/h,—,1009 hPa,65 %
2024-10-11 21:00:00,23.8 °C,17.1 °C,—,0 mm,2 km/h,—,1009.4 hPa,66 %
2024-10-11 22:00:00,24 °C,16 °C,—,0 mm,4 km/h,—,1009 hPa,61 %
2024-10-11 23:00:00,24 °C,16 °C,—,0 mm,6 km/h,—,1009 hPa,61 %
2024-10-10 18:00:00,23.8 °C,13.6 °C,—,0 mm,4 km/h,—,1008.5 hPa,53 %
2024-10-10 19:00:00,22 °C,16.9 °C,—,0 mm,7 km/h,—,1009 hPa,73 %
2024-10-10 20:00:00,22 °C,16.9 °C,—,0 mm,4 km/h,—,1009 hPa,73 %
2024-10-10 21:00:00,22 °C,16.5 °C,—,0 mm,4 km/h,—,1008.8 hPa,71 %
2024-10-10 22:00:00,21 °C,18 °C,—,0 mm,2 km/h,—,1009 hPa,83 %
2024-10-10 23:00:00,22 °C,16.9 °C,—,0 mm,4 km/h,—,1009 hPa,73 %
2024-10-09 18:00:00,23.4 °C,15.7 °C,—,0 mm,15 km/h,—,1011 hPa,62 %
2024-10-09 19:00:00,22 °C,18 °C,—,0 mm,7 km/h,—,1011 hPa,78 %
2024-10-09 20:00:00,22 °C,16.9 °C,—,0 mm,11 km/h,—,1011 hPa,73 %
2024-10-09 21:00:00,22.3 °C,17 °C,—,0 mm,11 km/h,—,1011.1 hPa,72 %
2024-10-09 22:00:00,22 °C,16.9 °C,—,0 mm,19 km/h,—,1012 hPa,73 %
2024-10-09 23:00:00,21 °C,18 °C,—,0 mm,17 km/h,—,1011 hPa,83 %
2024-10-08 18:00:00,23.1 °C,13 °C,—,0 mm,18 km/h,—,1018.2 hPa,53 %
2024-10-08 19:00:00,21 °C,9.9 °C,—,0 mm,13 km/h,—,1018 hPa,49 %
2024-10-08 20:00:00,21 °C,9.9 °C,—,0 mm,13 km/h,—,1018 hPa,49 %
2024-10-08 21:00:00,20.4 °C,9.9 °C,—,0 mm,13 km/h,—,1018.2 hPa,51 %
2024-10-08 22:00:00,19 °C,11.1 °C,—,0 mm,9 km/h,—,1017 hPa,60 %
2024-10-08 23:00:00,19 °C,11.1 °C,—,0 mm,7 km/h,—,1017 hPa,60 %
2024-10-07 18:00:00,21.8 °C,14.7 °C,—,0 mm,21 km/h,—,1016.2 hPa,64 %
2024-10-07 19:00:00,20 °C,13.9 °C,—,0 mm,19 km/h,—,1017 hPa,68 %
2024-10-07 20:00:00,19 °C,14.1 °C,—,0 mm,17 km/h,—,1018 hPa,73 %
2024-10-07 21:00:00,19.1 °C,14.4 °C,—,0 mm,17 km/h,—,1018.4 hPa,74 %
2024-10-07 22:00:00,18 °C,14.1 °C,—,0 mm,19 km/h,—,1019 hPa,78 %
2024-10-07 23:00:00,18 °C,14.1 °C,—,0 mm,17 km/h,—,1019 hPa,78 %
2024-10-06 18:00:00,23.6 °C,15.6 °C,—,0 mm,15 km/h,—,1009.2 hPa,61 %
2024-10-06 19:00:00,23 °C,18.1 °C,—,0 mm,7 km/h,—,1009 hPa,74 %
2024-10-06 20:00:00,22 °C,18 °C,—,0 mm,2 km/h,—,1010 hPa,78 %
2024-10-06 21:00:00,22.3 °C,17.9 °C,—,0 mm,2 km/h,—,1009.7 hPa,76 %
2024-10-06 22:00:00,22 °C,18 °C,—,0 mm,4 km/h,—,1010 hPa,78 %
2024-10-06 23:00:00,22 °C,19 °C,—,0 mm,4 km/h,—,1010 hPa,83 %
2024-10-05 18:00:00,27 °C,14.4 °C,—,0 mm,8 km/h,—,1010.5 hPa,46 %
2024-10-05 19:00:00,25 °C,17 °C,—,0 mm,7 km/h,—,1010 hPa,61 %
2024-10-05 20:00:00,24 °C,15 °C,—,0 mm,9 km/h,—,1010 hPa,57 %
2024-10-05 21:00:00,24.3 °C,15 °C,—,0 mm,9 km/h,—,1010.7 hPa,56 %
2024-10-05 22:00:00,24 °C,12.9 °C,—,0 mm,15 km/h,—,1011 hPa,50 %
2024-10-05 23:00:00,22 °C,13.1 °C,—,0 mm,4 km/h,—,1010 hPa,57 %
2024-10-04 18:00:00,26 °C,9.8 °C,—,0 mm,5 km/h,—,1013.3 hPa,36 %
2024-10-04 19:00:00,23 °C,18.1 °C,—,0 mm,7 km/h,—,1013 hPa,74 %
2024-10-04 20:00:00,23 °C,17 °C,—,0 mm,4 km/h,—,1013 hPa,69 %
2024-10-04 21:00:00,22.6 °C,16.4 °C,—,0 mm,4 km/h,—,1013.6 hPa,68 %
2024-10-04 22:00:00,22 °C,12 °C,—,0 mm,6 km/h,—,1013 hPa,53 %
2024-10-04 23:00:00,21 °C,12.9 °C,—,0 mm,3.7 km/h,—,1013 hPa,60 %
