DateTime,TEMP,DWPT,TSUN,PRCP,WSPD,WPGT,PRES,RHUM
2024-10-07 05:00:00,19 °C,17 °C,—,0.1 mm,13 km/h,—,1012 hPa,88 %
2024-10-06 01:00:00,22 °C,15.1 °C,—,0 mm,6 km/h,—,1010 hPa,65 %
2024-10-06 02:00:00,21 °C,16 °C,—,0 mm,4 km/h,—,1010 hPa,73 %
2024-10-06 03:00:00,20.9 °C,16.5 °C,—,0 mm,4 km/h,—,1009.9 hPa,76 %
2024-10-06 04:00:00,21 °C,18.9 °C,—,0 mm,5.5 km/h,—,1009 hPa,88 %
2024-10-06 05:00:00,20 °C,19 °C,—,0 mm,5.5 km/h,—,1010 hPa,94 %
2024-10-05 01:00:00,20 °C,13 °C,—,0 mm,4 km/h,—,1013 hPa,64 %
2024-10-05 02:00:00,20 °C,13 °C,—,0 mm,4 km/h,—,1013 hPa,64 %
2024-10-05 03:00:00,19.5 °C,13 °C,—,0 mm,4 km/h,—,1013.3 hPa,66 %
2024-10-05 04:00:00,19 °C,13 °C,—,0 mm,6 km/h,—,1013 hPa,68 %
2024-10-05 05:00:00,18 °C,14.1 °C,—,0 mm,6 km/h,—,1013 hPa,78 %
2024-10-04 01:00:00,18 °C,15.1 °C,—,0 mm,2 km/h,—,1015 hPa,83 %
2024-10-04 02:00:00,18 °C,15.1 °C,—,0 mm,4 km/h,—,1015 hPa,83 %
2024-10-04 03:00:00,17.8 °C,15.2 °C,—,0 mm,4 km/h,—,1015.7 hPa,85 %
2024-10-04 04:00:00,18 °C,16 °C,—,0 mm,2 km/h,—,1015 hPa,88 %
2024-10-04 05:00:00,20 °C,17 °C,—,0 mm,9 km/h,—,1015 hPa,83 %
2024-10-03 01:00:00,16 °C,12.9 °C,—,0 mm,9 km/h,—,1014 hPa,82 %
2024-10-03 02:00:00,16 °C,12.9 °C,—,0 mm,7 km/h,—,1014 hPa,82 %
2024-10-03 03:00:00,16.3 °C,13 °C,—,0 mm,4 km/h,—,1014.2 hPa,81 %
2024-10-03 04:00:00,16 °C,12.9 °C,—,0 mm,2 km/h,—,1014 hPa,82 %
2024-10-03 05:00:00,15 °C,13 °C,—,0 mm,4 km/h,—,1014 hPa,88 %
2024-10-02 01:00:00,18 °C,9.1 °C,—,0 mm,13 km/h,—,1013 hPa,56 %
2024-10-02 02:00:00,17 °C,7.1 °C,—,0 mm,17 km/h,—,1013 hPa,52 %
2024-10-02 03:00:00,17.3 °C,7.1 °C,—,0 mm,17 km/h,—,1013.4 hPa,51 %
2024-10-02 04:00:00,17 °C,7.1 °C,—,0 mm,11 km/h,—,1013 hPa,52 %
2024-10-02 05:00:00,16 °C,7 °C,—,0 mm,9 km/h,—,1013 hPa,55 %
2024-10-01 01:00:00,16 °C,8 °C,—,0 mm,7 km/h,—,1012 hPa,59 %
2024-10-01 02:00:00,16 °C,8 °C,—,0 mm,9 km/h,—,1012 hPa,59 %
2024-10-01 03:00:00,16.1 °C,7.8 °C,—,0 mm,9 km/h,—,1012.3 hPa,58 %
2024-10-01 04:00:00,16 °C,8 °C,—,0 mm,11 km/h,—,1011 hPa,59 %
2024-10-01 05:00:00,16 °C,7 °C,—,0 mm,19 km/h,—,1011 hPa,55 %
2024-09-30 01:00:00,18 °C,15.1 °C,—,1.8 mm,30 km/h,—,1009 hPa,83 %
2024-09-30 02:00:00,17 °C,16 °C,—,1.8 mm,9 km/h,—,1010 hPa,94 %
2024-09-30 03:00:00,17.3 °C,16 °C,—,0.4 mm,9 km/h,—,1009.9 hPa,92 %
2024-09-30 04:00:00,17 °C,16 °C,—,0.9 mm,11 km/h,—,1008 hPa,94 %
2024-09-30 05:00:00,17 °C,16 °C,—,0.1 mm,13 km/h,—,1009 hPa,94 %
2024-09-29 01:00:00,21 °C,18.9 °C,—,0 mm,7 km/h,—,1010 hPa,88 %
2024-09-29 02:00:00,21 °C,18.9 °C,—,0 mm,7 km/h,—,1009 hPa,88 %
2024-09-29 03:00:00,20.7 °C,18.8 °C,—,0 mm,8 km/h,—,1009.8 hPa,89 %
2024-09-29 04:00:00,20 °C,19 °C,—,0 mm,4 km/h,—,1009 hPa,94 %
2024-09-29 05:00:00,19 °C,18 °C,—,0 mm,6 km/h,—,1009 hPa,94 %
2024-09-28 01:00:00,21 °C,18.9 °C,—,0 mm,17 km/h,—,1013 hPa,88 %
2024-09-28 02:00:00,21 °C,18.9 °C,—,0 mm,15 km/h,—,1013 hPa,88 %
2024-09-28 03:00:00,20.7 °C,18.8 °C,—,0 mm,15 km/h,—,1012.8 hPa,89 %
2024-09-28 04:00:00,20 °C,19 °C,—,0 mm,11 km/h,—,1012 hPa,94 %
2024-09-28 05:00:00,20 °C,18 °C,—,0 mm,9 km/h,—,1012 hPa,88 %
2024-09-27 01:00:00,20 °C,17 °C,—,0 mm,7 km/h,—,1015 hPa,83 %
2024-09-27 02:00:00,19 °C,17 °C,—,0 mm,7 km/h,—,1015 hPa,88 %
2024-09-27 03:00:00,19.4 °C,17.2 °C,—,0 mm,8 km/h,—,1015.4 hPa,87 %
2024-09-27 04:00:00,19 °C,17 °C,—,0 mm,9 km/h,—,1015 hPa,88 %
